model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
content,default,random,coverage,20.0,0.5756276791181874,924,0,20260903,20260904T070002,1788485452
content,default,random,mean_popularity,20.0,59.39128787878788,924,0,20260903,20260904T070002,1788485452
content,default,random,popularity_percentile,20.0,0.5995865296876326,924,0,20260903,20260904T070002,1788485452
content,default,random,gini,20.0,0.7997421949350915,924,0,20260903,20260904T070002,1788485452
item_knn,default,random,rmse,,0.9289246917491996,940,20000,20260903,20260904T070002,1788485475
item_knn,default,random,mae,,0.7285523732774234,940,20000,20260903,20260904T070002,1788485475
item_knn,default,random,precision_at_k,5.0,0.05865800865800866,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,recall_at_k,5.0,0.021275979183172384,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,coverage,5.0,0.23331292100428658,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,mean_popularity,5.0,104.64199134199134,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,popularity_percentile,5.0,0.694571900729989,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,gini,5.0,0.9405985319028797,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,precision_at_k,10.0,0.055735930735930736,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,recall_at_k,10.0,0.04024301859957952,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,coverage,10.0,0.31843233312921004,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,mean_popularity,10.0,104.8491341991342,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,popularity_percentile,10.0,0.7050177457346575,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,gini,10.0,0.9264492090885232,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,precision_at_k,20.0,0.05340909090909092,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,recall_at_k,20.0,0.07812619830388647,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,coverage,20.0,0.421310471524801,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,mean_popularity,20.0,101.19686147186147,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,popularity_percentile,20.0,0.7068980906756643,924,0,20260903,20260904T070002,1788485475
item_knn,default,random,gini,20.0,0.9050417790007502,924,0,20260903,20260904T070002,1788485475
mf,default,random,rmse,,0.9324493175289064,940,20000,20260903,20260904T070002,1788485493
mf,default,random,mae,,0.7340324507440907,940,20000,20260903,20260904T070002,1788485493
mf,default,random,precision_at_k,5.0,0.058874458874458864,924,0,20260903,20260904T070002,1788485493
mf,default,random,recall_at_k,5.0,0.021120290113165473,924,0,20260903,20260904T070002,1788485493
mf,default,random,coverage,5.0,0.09246785058175137,924,0,20260903,20260904T070002,1788485493
mf,default,random,mean_popularity,5.0,128.43506493506493,924,0,20260903,20260904T070002,1788485493
mf,default,random,popularity_percentile,5.0,0.7957946057210763,924,0,20260903,20260904T070002,1788485493
mf,default,random,gini,5.0,0.9822619511535617,924,0,20260903,20260904T070002,1788485493
mf,default,random,precision_at_k,10.0,0.0564935064935065,924,0,20260903,20260904T070002,1788485493
mf,default,random,recall_at_k,10.0,0.04253605491125978,924,0,20260903,20260904T070002,1788485493
mf,default,random,coverage,10.0,0.13778322106552357,924,0,20260903,20260904T070002,1788485493
mf,default,random,mean_popularity,10.0,127.31645021645022,924,0,20260903,20260904T070002,1788485493
mf,default,random,popularity_percentile,10.0,0.8139257596978186,924,0,20260903,20260904T070002,1788485493
mf,default,random,gini,10.0,0.9742470634081167,924,0,20260903,20260904T070002,1788485493
mf,default,random,precision_at_k,20.0,0.053787878787878794,924,0,20260903,20260904T070002,1788485493
mf,default,random,recall_at_k,20.0,0.08225517292268653,924,0,20260903,20260904T070002,1788485493
mf,default,random,coverage,20.0,0.17942437232088182,924,0,20260903,20260904T070002,1788485493
mf,default,random,mean_popularity,20.0,120.1012987012987,924,0,20260903,20260904T070002,1788485493
mf,default,random,popularity_percentile,20.0,0.8138770849248791,924,0,20260903,20260904T070002,1788485493
mf,default,random,gini,20.0,0.9625661081111173,924,0,20260903,20260904T070002,1788485493
